features;levels;decision;supportLHS;supportRHS;accuracyRHS;coverageLHS;coverageRHS;cuts;cut1;cut2;cut3;pValue;riskRatio;pValueRiskRatio;confIntRiskRatio;supportSetLHS;supportSetRHS;cut4
THRB,LTC4S;2,3;Non-protected;7;6;0.857142857142857;0.17949;0.31579;cut<value<cut,value>cut;-4.8763;-2.9111;0.5971;0.424116424116424;6.31578947368421;0.361257538986904;0.836:47.694;30412,29484,28724,31481,32342,32570,32576;30412,29484,28724,32342,32570,32576;
THRB,IGHV3-43;2,3;Protected;8;8;1;0.20513;0.4;cut<value<cut,value>cut;-4.8608;-3.1655;0.2639;0.00614250614250615;Inf;0.00681436104783684;#SPILL!;30027,29208,29341,29482,28724,28890,29215,32576;30027,29208,29341,29482,28724,28890,29215,32576;
TMEM38A,LTC4S;1,1;Protected;7;7;1;0.17949;0.35;value<cut,value<cut;2.77589;-0.4553;;0.0554400554400555;Inf;0.0544723053426379;#SPILL!;30028,30027,29515,29483,30407,28949,33252;30028,30027,29515,29483,30407,28949,33252;
TMEM38A,LTC4S;2,2;Non-protected;9;6;0.666666666666667;0.23077;0.31579;cut<value<cut,cut<value<cut;2.7335;3.225;-0.4734;1;2.10526315789474;1;0.612:7.242;28835,29211,29299,30400,28808,29014,31824,32383,32575;28835,30400,29014,31824,32383,32575;0.5971
TMEM38A,THRB;2,3;Non-protected;7;6;0.857142857142857;0.17949;0.31579;cut<value<cut,value>cut;2.7335;3.225;-3.1655;0.424116424116424;6.31578947368421;0.361257538986904;0.836:47.694;29523,28835,30400,28808,29014,32342,32383;29523,28835,30400,29014,32342,32383;
TMEM38A,VSTM1;1,1;Protected;7;7;1;0.17949;0.35;value<cut,value<cut;2.78339;4.38272;;0.0756000756000756;Inf;0.0742804163763244;#SPILL!;30027,29515,29483,30407,28949,29215,33252;30027,29515,29483,30407,28949,29215,33252;
TMEM38A,OSCAR;1,1;Protected;9;9;1;0.23077;0.45;value<cut,value<cut;2.7784;2.47125;;0.0118887215661409;Inf;0.0149802956877032;#SPILL!;30028,29515,29483,30407,28949,29215,31481,32786,33252;30028,29515,29483,30407,28949,29215,31481,32786,33252;
VSTM1;1;Protected;13;13;1;0.33333;0.65;value<cut;4.34514;;;0.000143159208787685;Inf;0.000322767965671433;#SPILL!;30027,28835,29208,29211,29515,29483,30407,28808,28885,28949,29212,29215,33252;30027,28835,29208,29211,29515,29483,30407,28808,28885,28949,29212,29215,33252;
VSTM1,F5;1,1;Protected;8;8;1;0.20513;0.4;value<cut,value<cut;4.474;5.5665;;0.0307125307125308;Inf;0.0340718052391842;#SPILL!;30027,28835,29208,29211,29515,29483,29215,33252;30027,28835,29208,29211,29515,29483,29215,33252;
VSTM1,F5;3,3;Non-protected;7;7;1;0.17949;0.36842;value>cut,value>cut;5.18617;6.32433;;0.0491400491400492;Inf;0.0464403082493858;#SPILL!;30412,29511,28724,32342,32371,32383,32576;30412,29511,28724,32342,32371,32383,32576;
VSTM1,LTC4S;1,1;Protected;8;8;1;0.20513;0.4;value<cut,value<cut;4.38656;-0.43814;;0.0307125307125308;Inf;0.0340718052391842;#SPILL!;30027,29208,29515,29483,30407,28885,28949,33252;30027,29208,29515,29483,30407,28885,28949,33252;
VSTM1,LTC4S;3,3;Non-protected;8;7;0.875;0.20513;0.36842;value>cut,value>cut;5.2235;0.5971;;0.264127764127764;7.36842105263158;0.226645820073278;0.998:54.391;29558,30412,29484,29511,28724,32342,32371,32576;30412,29484,29511,28724,32342,32371,32576;
VSTM1,OSCAR;1,1;Protected;9;9;1;0.23077;0.45;value<cut,value<cut;4.40335;2.47125;;0.0118887215661409;Inf;0.0149802956877032;#SPILL!;29208,29211,29515,29483,30407,28808,28949,29215,33252;29208,29211,29515,29483,30407,28808,28949,29215,33252;
OSCAR;1;Protected;13;13;1;0.33333;0.65;value<cut;2.46628;;;0.000143159208787685;Inf;0.000322767965671433;#SPILL!;30028,29208,29211,29515,29483,30407,28808,28949,29014,29215,31481,32786,33252;30028,29208,29211,29515,29483,30407,28808,28949,29014,29215,31481,32786,33252;
;;;;;;;;;;;;;;;;;;
OSCAR,AZU1;1,1;Protected;8;8;1;0.20513;0.4;value<cut,value<cut;2.4787;1.7703;;0.0450450450450451;Inf;0.0499719810174701;#SPILL!;30028,29483,30407,28808,28949,29014,29215,33252;30028,29483,30407,28808,28949,29014,29215,33252;
OSCAR,CD300LD;3,2;Non-protected;7;6;0.857142857142857;0.17949;0.31579;value>cut,cut<value<cut;2.9083;1.3239;1.8379;0.848232848232848;6.31578947368421;0.722515077973807;0.836:47.694;29558,29484,29511,32342,32371,32383,32575;29484,29511,32342,32371,32383,32575;
OSCAR,HEY1;1,1;Protected;7;7;1;0.17949;0.35;value<cut,value<cut;2.4787;-1.7672;;0.110880110880111;Inf;0.108944610685276;#SPILL!;29208,29211,29483,28949,29014,32786,33252;29208,29211,29483,28949,29014,32786,33252;
OSCAR,HEY1;2,2;Non-protected;7;6;0.857142857142857;0.17949;0.31579;cut<value<cut,cut<value<cut;2.473;2.999;-1.8936;0.848232848232848;6.31578947368421;0.722515077973807;0.836:47.694;29523,30027,28724,29528,31824,32570,32576;29523,28724,29528,31824,32570,32576;-0.7844
OSCAR,LILRB1;3,3;Non-protected;8;7;0.875;0.20513;0.36842;value>cut,value>cut;2.86295;7.702;;0.281736281736282;7.36842105263158;0.241755541411496;0.998:54.391;29484,29511,28810,28885,31824,32342,32383,32575;29484,29511,28810,31824,32342,32383,32575;
OSCAR,STARD8;3,3;Non-protected;7;7;1;0.17949;0.36842;value>cut,value>cut;2.89049;1.46804;;0.0524160524160525;Inf;0.0495363287993449;#SPILL!;29511,30400,28810,32342,32371,32383,32575;29511,30400,28810,32342,32371,32383,32575;
OSCAR,TMEM40;1,1;Protected;7;7;1;0.17949;0.35;value<cut,value<cut;2.46948;2.24983;;0.110880110880111;Inf;0.108944610685276;#SPILL!;29208,29211,29515,29483,30407,28949,33252;29208,29211,29515,29483,30407,28949,33252;
