features,levels,decision,supportRHS,accuracyRHS,Therotical_Accuracy,cuts,cut1,cut2,cut3,cut4,Combinatorial_gain
"X00000064313,KRTAP29.1","1,2",NonProt,6,1,0.23489932885906,"value<cut,cut<value<cut",-2.6169,-5.01225,-1.204,,-0.76510067114094
"X00000053012,TRIM16","1,1",NonProt,6,1,0.491071428571429,"value<cut,value<cut",2.6072,-1.628,,,-0.508928571428571
"DLK1,LOC702786","3,2",NonProt,6,0.92857,0.512820512820513,"value>cut,cut<value<cut",-0.1299,-4.917,-0.37435,,-0.415749487179487
"LILRB1,LOC702786","3,2",NonProt,6,1,0.364741641337386,"value>cut,cut<value<cut",7.73783,-4.94847,-0.54677,,-0.635258358662614
"LOC702786,CTH","2,3",NonProt,6,0.94133,0.945558739255014,"cut<value<cut,value>cut",-4.9591,-1.15204,-0.74399,,0.00422873925501432
"LOC702786,C5H4orf45","2,3",NonProt,6,1,0.928705440900563,"cut<value<cut,value>cut",-4.9522,-0.9418,1.5752,,-0.0712945590994372
"TNNT2,TMX2","1,2",Prot,6,0.85714,0.053926206244087,"value<cut,cut<value<cut",-2.361,2.857,3.24,,-0.803213793755913
"F2RL3,LTC4S","1,1",Prot,6,0.85714,0.861791682372157,"value<cut,value<cut",-3.3308,-0.2908,,,0.0046516823721573
"X00000053012,LTC4S","3,1",Prot,6,1,0.611175465171852,"value>cut,value<cut",2.87615,-0.40035,,,-0.388824534828148
"TNNT2,LOC701920","1,2",Prot,6,1,0.213063151682077,"value<cut,cut<value<cut",-2.361,5.2565,5.4955,,-0.786936848317923
"LOC719667,USP31","2,1",Prot,6,1,0.125029621393026,"cut<value<cut,value<cut",3.95933,4.972,0.1246,,-0.874970378606974
"F2RL3,C5H4orf45","1,1",Prot,6,1,0.851098151135377,"value<cut,value<cut",-3.4174,0.25165,,,-0.148901848864623
"VSTM1,F2RL3","1,1",Prot,6,1,0.322639823133732,"value<cut,value<cut",4.38957,-3.75299,,,-0.677360176866268
"TNNT2,C5H4orf45","1,1",Prot,6,1,0.310938845822567,"value<cut,value<cut",-2.361,0.1759,,,-0.689061154177433
"F2RL3,DLK1","1,2",Prot,6,0.92857,0.778144735349359,"value<cut,cut<value<cut",-3.3308,-1.88425,-0.0066,,-0.150425264650641
"USP31,ZNF576","1,3",Prot,6,0.92857,0.291553905663318,"value<cut,value>cut",0.06835,3.94175,,,-0.637016094336682
"VSTM1,ZNF576","1,3",Prot,6,1,0.125029621393026,"value<cut,value>cut",4.3465,3.945,,,-0.874970378606974
"X00000037843,SMIM2","1,1",Prot,6,1,0.138493844942353,"value<cut,value<cut",2.4736,-0.2696,,,-0.861506155057647
"LOC719667,TNNT2","2,1",Prot,6,1,0.0567520830058167,"cut<value<cut,value<cut",3.995,4.964,-2.361,,-0.943247916994183
"RBM46,LOC709056","3,2",Prot,6,1,0.411280519381409,"value>cut,cut<value<cut",-1.00085,-0.3788,0.8126,,-0.588719480618592
"ESR1,USP31","3,1",Prot,6,1,0.386029091988191,"value>cut,value<cut",1.05385,0.13258,,,-0.613970908011809
"TMX2,X00000053012","3,2",Prot,6,1,0.139747946148221,"value>cut,cut<value<cut",3.2406,2.59224,2.87166,,-0.860252053851779
"USP31,LAMC1","1,2",Prot,6,1,0.291553905663318,"value<cut,cut<value<cut",0.0609,0.94073,1.83707,,-0.708446094336682
"FABP5,USP31","1,1",Prot,6,1,0.837246205802173,"value<cut,value<cut",1.98845,0.21915,,,-0.162753794197827
"TMEM38A,KRTAP29.1","3,2",NonProt,6,0.90476,0.0578512396694215,"value>cut,cut<value<cut",3.224,-5.00567,-1.2375,,-0.846908760330578
"DLK1,KRTAP29.1","3,2",NonProt,6,0.92857,0.536585365853659,"value>cut,cut<value<cut",-0.1299,-4.97275,0.31275,,-0.391984634146341
"F2RL3,DLK1","3,3",NonProt,6,1,0.547945205479452,"value>cut,value>cut",-1.75826,-0.0399,,,-0.452054794520548
"LOC701920,X00000064313","1,1",NonProt,7,1,0.783034257748776,"value<cut,value<cut",5.2619,-2.65678,,,-0.216965742251224
"LILRB1,KRTAP29.1","3,2",NonProt,6,1,0.364741641337386,"value>cut,cut<value<cut",7.74688,-4.999,-1.198,,-0.635258358662614
"X00000059995,MAOA","3,2",Prot,6,0.85714,0.263210407152999,"value>cut,cut<value<cut",0.6267,0.2151,0.6635,,-0.593929592847001
"DLK1,LTC4S","1,1",Prot,6,1,0.631641955981214,"value<cut,value<cut",-1.9201,-0.3273,,,-0.368358044018786
"STARD8,SMIM2","3,3",NonProt,6,1,0.700525394045534,"value>cut,value>cut",1.48085,0.96565,,,-0.299474605954466
"STARD8,LOC114669850","3,1",NonProt,6,1,0.766871165644172,"value>cut,value<cut",1.4746,-0.16588,,,-0.233128834355828
"STARD8,HCN2","3,3",NonProt,6,1,0.636942675159236,"value>cut,value>cut",1.4761,-2.1214,,,-0.363057324840764
"FABP5,TRIM16","1,2",Prot,6,0.85714,0.387161023441091,"value<cut,cut<value<cut",1.991,-1.628,-0.9268,,-0.469978976558909
"TMX2,A1BG","3,3",Prot,7,0.89286,0.310938845822567,"value>cut,value>cut",3.2416,-1.44232,,,-0.581921154177433
"X00000053274,TNNT2","3,1",Prot,6,0.92857,0.0903095221850766,"value>cut,value<cut",1.5977,-2.3553,,,-0.838260477814924
"TMX2,F2RL3","3,1",Prot,6,1,0.375650364203954,"value>cut,value<cut",3.241,-3.94278,,,-0.624349635796046
"TMEM38A,DLK1","1,1",Prot,6,0.90476,0.213063151682078,"value<cut,value<cut",2.7665,-1.9323,,,-0.691696848317922
"FABP5,MYH15","1,1",Prot,6,1,0.862777161545587,"value<cut,value<cut",1.99187,-2.31273,,,-0.137222838454413
"KRTAP29.1,SDK2","2,1",NonProt,6,0.86607,0.902564102564103,"cut<value<cut,value<cut",-4.997,0.31275,-0.8912,,0.0364941025641026
"X00000064715,X00000058427","1,3",NonProt,6,0.85714,0.387096774193548,"value<cut,value>cut",-0.026,1.83405,,,-0.470043225806452
"LOC702786,SMIM2","2,3",NonProt,6,0.92857,0.928705440900563,"cut<value<cut,value>cut",-4.92785,-0.63298,1.03332,,0.000135440900562833
"KRTAP29.1,SMIM2","2,3",NonProt,6,0.92857,0.922131147540984,"cut<value<cut,value>cut",-4.9395,0.31275,1.0064,,-0.00643885245901643
"LOC719667,SMIM2","3,3",NonProt,6,1,0.700525394045534,"value>cut,value>cut",4.97912,1.0064,,,-0.299474605954466
"SMIM2,HCN2","3,3",NonProt,6,1,0.3690036900369,"value>cut,value>cut",0.9118,-2.0401,,,-0.6309963099631
"LOC709056,SMIM2","1,3",NonProt,6,1,0.737327188940092,"value<cut,value>cut",-0.36277,0.9849,,,-0.262672811059908
"X00000037843,HCN2","3,3",NonProt,6,0.85714,0.412371134020619,"value>cut,value>cut",2.8764,-2.0401,,,-0.444768865979381
"VSTM1,LOC114669850","2,1",NonProt,7,0.86905,0.729344729344729,"cut<value<cut,value<cut",4.3465,5.21217,-0.1699,,-0.139705270655271
"TMX2,THRB","1,3",NonProt,6,1,0.054726368159204,"value<cut,value>cut",2.87067,-3.0807,,,-0.945273631840796
"TMX2,USP31","1,3",NonProt,6,1,0.243362831858407,"value<cut,value>cut",2.857,0.6409,,,-0.756637168141593
"VSTM1,LOC709056","1,3",Prot,6,0.85714,0.111137859277383,"value<cut,value>cut",4.3465,0.8126,,,-0.746002140722617
"X00000064313,MYH15","1,1",Prot,6,0.85714,0.729335227986737,"value<cut,value<cut",-2.494,-2.2252,,,-0.127804772013263
"ESR1,HCN2","2,2",Prot,6,0.85714,0.26870992595688,"cut<value<cut,cut<value<cut",0.5914,1.041,-3.1067,-2.0401,-0.58843007404312
"X00000053012,HCN2","1,3",NonProt,6,0.85714,0.461699895068206,"value<cut,value>cut",2.6072,-2.0401,,,-0.395440104931794
"X00000053012,SMIM2","1,3",NonProt,6,1,0.606896551724138,"value<cut,value>cut",2.6072,0.9118,,,-0.393103448275862
"STARD8,DLK1","3,3",NonProt,6,1,0.488997555012225,"value>cut,value>cut",1.46817,0.03476,,,-0.511002444987775
"VSTM1,HCN2","1,1",Prot,6,1,0.138493844942353,"value<cut,value<cut",4.32938,-2.94885,,,-0.861506155057647
"FABP5,CFAP70","1,2",Prot,6,1,0.79416191738174,"value<cut,cut<value<cut",1.99187,0.1011,2.23473,,-0.20583808261826
"MYH15,ZNF576","1,3",Prot,6,1,0.318642860461155,"value<cut,value>cut",-2.29085,3.945,,,-0.681357139538845
"FABP5,C5H4orf45","1,1",Prot,6,1,0.862777161545587,"value<cut,value<cut",1.9876,0.21843,,,-0.137222838454413
"LOC709056,LTC4S","3,1",Prot,6,1,0.662129549184284,"value>cut,value<cut",0.8126,-0.2908,,,-0.337870450815716
"X00000053012,ESR1","2,2",Prot,6,0.85714,0.253858395943595,"cut<value<cut,cut<value<cut",2.6072,2.8896,0.5914,1.041,-0.603281604056405
"LOC702786,C5H4orf45","3,1",Prot,6,1,0.386029091988191,"value>cut,value<cut",-0.09062,0.21378,,,-0.613970908011809
"VSTM1,LOC702786","1,3",Prot,6,0.97143,0.263210407152999,"value<cut,value>cut",4.3446,-0.26086,,,-0.708219592847001
"VSTM1,X00000056965","3,1",NonProt,6,0.92857,0.700525394045534,"value>cut,value<cut",5.1675,-3.3614,,,-0.228044605954466
"FABP5,USP31","3,2",NonProt,6,1,0.87719298245614,"value>cut,cut<value<cut",2.46235,0.13557,0.70242,,-0.12280701754386
"ZNF576,X00000056965","1,1",NonProt,6,1,0.794223826714801,"value<cut,value<cut",3.741,-3.4086,,,-0.205776173285199
"TMX2,X00000058427","1,3",NonProt,6,1,0.161764705882353,"value<cut,value>cut",2.8775,1.81625,,,-0.838235294117647
"TNNT2,X00000064369","1,3",Prot,6,1,0.288825673393191,"value<cut,value>cut",-2.3553,3.3376,,,-0.711174326606809
"X00000064715,X00000064369","3,3",Prot,6,0.96875,0.339683378179837,"value>cut,value>cut",2.00528,3.28717,,,-0.629066621820163
"X00000053274,USP31","3,1",Prot,6,1,0.406845008600747,"value>cut,value<cut",1.5977,0.18393,,,-0.593154991399253
