features	levels	decision	cuts	supportLHS	supportRHS	accuracyRHS	coverageLHS	coverageRHS	stabilityLHS	stabilityRHS	cut1	cut2	cut3	cut4	supportRatioLHS	supportRatioRHS	pValue	riskRatio	pValueRiskRatio	confIntRiskRatio	cut5
LILRB1,HEY1	3,3	NonProt	value>cut,value>cut	6	6	1	0.17143	0.34641	1	1	7.76	-0.8522			0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC719667,LOC701920	3,1	NonProt	value>cut,value<cut	7	7	1	0.21208	0.43854	1	1	4.97872	5.25839			0.36842	0.36842	1	Inf	1	-Inf:Inf	
X00000064715,THRB	2,3	NonProt	cut<value<cut,value>cut	6	6	1	0.17143	0.35294	1	1	-0.0597	1.789	-3.2372		0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000053274,X00000064369	1,1	NonProt	value<cut,value<cut	6	6	1	0.18034	0.36878	1	1	-0.3548	2.5773			0.31579	0.31579	1	Inf	1	-Inf:Inf	
FABP5,RBM46	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	1.9859	-1.2248			0.3	0.3	1	Inf	1	-Inf:Inf	
TNNT2,X00000060253	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	-2.361	2.0577			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000060253,X00000059995	3,2	Prot	value>cut,cut<value<cut	6	6	1	0.17857	0.35264	1	1	2.04115	-0.39725	0.62982		0.3	0.3	1	Inf	1	-Inf:Inf	
VSTM1,X00000060253	1,3	Prot	value<cut,value>cut	6	6	1	0.17048	0.32708	1	1	4.3607	2.0695			0.3	0.3	1	Inf	1	-Inf:Inf	
FABP5,HCN2	1,1	Prot	value<cut,value<cut	6	6	1	0.18433	0.347	1	1	1.99038	-2.9651			0.3	0.3	1	Inf	1	-Inf:Inf	
C5H4orf45,X00000059995	1,2	Prot	value<cut,cut<value<cut	6	6	1	0.17143	0.34314	1	1	0.1759	-0.3484	0.6956		0.3	0.3	1	Inf	1	-Inf:Inf	
STARD8,X00000060253	2,3	Prot	cut<value<cut,value>cut	6	6	1	0.18571	0.37255	1	1	0.6393	1.4296	2.0577		0.3	0.3	1	Inf	1	-Inf:Inf	
LTC4S,X00000060253	1,3	Prot	value<cut,value>cut	6	6	1	0.18571	0.37255	1	1	-0.4593	2.03675			0.3	0.3	1	Inf	1	-Inf:Inf	
RBM46,X00000060253	3,3	Prot	value>cut,value>cut	7	7	1	0.19048	0.37106	1	1	-1.14553	2.0577			0.35	0.35	1	Inf	1	-Inf:Inf	
ESR1,SMIM2	3,1	Prot	value>cut,value<cut	6	6	1	0.17143	0.32456	1	1	1.05385	-0.26035			0.3	0.3	1	Inf	1	-Inf:Inf	
RBM46,TRIM16	3,3	Prot	value>cut,value>cut	6	6	1	0.17064	0.33139	1	1	-1.06235	-0.95743			0.3	0.3	1	Inf	1	-Inf:Inf	
ESR1,X00000060253	3,3	Prot	value>cut,value>cut	6	6	1	0.17143	0.34314	1	1	1.0314	2.0577			0.3	0.3	1	Inf	1	-Inf:Inf	
TMEM38A,X00000060253	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.34314	1	1	2.77575	2.03675			0.3	0.3	1	Inf	1	-Inf:Inf	
VSTM1,ESR1	1,3	Prot	value<cut,value>cut	6	6	1	0.18003	0.34626	1	1	4.35833	1.05808			0.3	0.3	1	Inf	1	-Inf:Inf	
TNNT2,ESR1	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33824	1	1	-2.37595	1.05415			0.3	0.3	1	Inf	1	-Inf:Inf	
LOC709056,X00000060253	2,3	Prot	cut<value<cut,value>cut	6	6	1	0.17143	0.33402	1	1	-0.41223	0.726	2.0577		0.3	0.3	1	Inf	1	-Inf:Inf	
CFAP70,X00000060253	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33402	1	1	0.09867	2.07363			0.3	0.3	1	Inf	1	-Inf:Inf	
THRB,X00000060253	1,3	Prot	value<cut,value>cut	6	6	1	0.17738	0.34379	1	1	-4.87925	2.06658			0.3	0.3	1	Inf	1	-Inf:Inf	
FABP5,SMIM2	1,1	Prot	value<cut,value<cut	7	7	1	0.19048	0.37117	1	1	1.9859	-0.25503			0.35	0.35	1	Inf	1	-Inf:Inf	
TARM1,X00000059995	1,2	Prot	value<cut,cut<value<cut	6	6	1	0.17143	0.33333	1	1	1.2466	-0.2925	0.6708		0.3	0.3	1	Inf	1	-Inf:Inf	
