features	levels	decision	supportLHS	supportRHS	accuracyRHS	coverageLHS	coverageRHS	cuts	cut1	cut2	cut3	pValue	riskRatio	pValueRiskRatio	confIntRiskRatio	supportSetLHS	supportSetRHS	cut4	stabilityLHS	stabilityRHS	supportRatioLHS	supportRatioRHS	cut5
TMEM38A,DLK1	3,3	NonProt	6	6	1	0.17143	0.35294	value>cut,value>cut	3.2525	-0.1047		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
DLK1,HCN2	3,3	NonProt	6	6	1	0.17619	0.35662	value>cut,value>cut	0.0016	-2.1293		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000053012,DLK1	1,3	NonProt	7	7	1	0.19184	0.39572	value<cut,value>cut	2.5859	0.0069		1	Inf	1	-Inf:Inf				1	1	0.36842	0.36842	
KIR3DL0,DLK1	1,3	NonProt	7	7	1	0.20992	0.42887	value<cut,value>cut	2.83325	-0.00255		1	Inf	1	-Inf:Inf				1	1	0.36842	0.36842	
VSTM1,TNNT2	3,3	NonProt	7	7	1	0.19444	0.4023	value>cut,value>cut	5.21233	-0.58397		1	Inf	1	-Inf:Inf				1	1	0.36842	0.36842	
DLK1,A1BG	3,1	NonProt	6	6	1	0.18367	0.37197	value>cut,value<cut	0.0069	-1.95493		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
KIR3DL0,LOC715623	1,2	NonProt	6	6	0.92857	0.18571	0.35294	value<cut,cut<value<cut	2.8565	-1.7829	-0.4805	1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000059200,THRB	1,3	NonProt	7	6	0.87302	0.19938	0.35993	value<cut,value>cut	-0.42827	-3.14161		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
X00000053274,X00000058427	1,3	NonProt	8	7	0.89286	0.22766	0.42519	value<cut,value>cut	-0.3194	1.81881		1	7.36842105263158	1	0.998:54.391				1	1	0.42105	0.36842	
LOC701920,TARM1	1,3	NonProt	7	7	1	0.20802	0.42733	value<cut,value>cut	5.257	2.01786		1	Inf	1	-Inf:Inf				1	1	0.36842	0.36842	
THRB,LTC4S	1,1	Prot	7	6	0.90476	0.19048	0.33987	value<cut,value<cut	-4.86687	-0.464		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
X00000064715,LOC702786	3,1	Prot	7	6	0.85714	0.2	0.32456	value>cut,value<cut	1.8839	-4.94355		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
VSTM1,A1BG	1,3	Prot	8	8	0.96875	0.22857	0.43124	value<cut,value>cut	4.46225	-1.40897		1	Inf	1	-Inf:Inf				1	1	0.4	0.4	
VSTM1,LTC4S	1,1	Prot	8	7	0.9875	0.21373	0.41326	value<cut,value<cut	4.40335	-0.43885		1	6.65	1	0.901:49.088				1	1	0.4	0.35	
DLK1,LAMC1	2,2	Prot	6	6	1	0.18333	0.34444	cut<value<cut,cut<value<cut	-1.88425	-0.21	0.90105	1	Inf	1	-Inf:Inf			1.74415	1	1	0.3	0.3	
VSTM1,TMX2	1,3	Prot	6	6	1	0.17798	0.34643	value<cut,value>cut	4.38725	3.241		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
X00000037843,X00000060146	1,2	Prot	6	6	1	0.17048	0.331	value<cut,cut<value<cut	2.46764	-4.829	-3.0233	1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
