Sample ID;Group;Vaccine Description;RhCMV Status;vaccine route of inoculation;protectionStatus;AnimalID;Time_Point;Sex;Age;Study Event;PAXgene Sample Collection Date
O4_28885_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28885;D133;male;;D7 of boost;
O4_28885_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28885;PreChal (W88);male;;PreChallenge;
O5_28890_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28890;D0;male;;baseline;
O5_28890_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28890;D3;male;;D3 of prime;
O5_28890_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28890;D7;male;;D7 of prime;
O5_28890_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28890;D126;male;;D0 of boost;
O5_28890_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28890;D129;male;;D3 of boost;
O5_28890_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28890;D133;male;;D7 of boost;
O5_28890_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28890;PreChal (W88);male;;PreChallenge;
O6_28949_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28949;D0;male;;baseline;
O6_28949_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28949;D3;male;;D3 of prime;
O6_28949_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28949;D7;male;;D7 of prime;
O6_28949_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28949;D126;male;;D0 of boost;
O6_28949_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28949;D129;male;;D3 of boost;
O6_28949_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28949;D133;male;;D7 of boost;
O6_28949_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28949;PreChal (W88);male;;PreChallenge;
O7_29014_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29014;D0;male;;baseline;
O7_29014_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29014;D3;male;;D3 of prime;
O7_29014_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29014;D7;male;;D7 of prime;
O7_29014_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29014;D126;male;;D0 of boost;
O7_29014_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29014;D129;male;;D3 of boost;
O7_29014_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29014;D133;male;;D7 of boost;
O7_29014_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;29014;PreChal (W88);male;;PreChallenge;
O8_29212_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29212;D0;male;;baseline;
O8_29212_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29212;D3;male;;D3 of prime;
O8_29212_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29212;D7;male;;D7 of prime;
O8_29212_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29212;D126;male;;D0 of boost;
O8_29212_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29212;D129;male;;D3 of boost;
O8_29212_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29212;D133;male;;D7 of boost;
O8_29212_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29212;PreChal (W88);male;;PreChallenge;
O9_29215_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29215;D0;male;;baseline;
O9_29215_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29215;D3;male;;D3 of prime;
O9_29215_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29215;D7;male;;D7 of prime;
O9_29215_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29215;D126;male;;D0 of boost;
O9_29215_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29215;D129;male;;D3 of boost;
O9_29215_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29215;D133;male;;D7 of boost;
O9_29215_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;29215;PreChal (W88);male;;PreChallenge;
016_O05_ABL1_A_31481_D0;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31481;D0;male;;baseline;
058_O05_ABL1_A_31481_D7;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31481;D7;male;;D7 of prime;
079_O05_ABL1_A_31481_D126;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31481;D126;male;;D0 of boost;
100_O05_ABL1_A_31481_D129;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31481;D129;male;;D3 of boost;
121_O05_ABL1_A_31481_D133;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31481;D133;male;;D7 of boost;
296_O05_ABL1_A_31481_D540;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31481;PreChal ( D427);male;;PreChallenge;
038_O05_ABL1_A_31824_D3;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31481;D3;male;;D3 of prime;
037_O05_ABL1_A_31481_D3;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31824;D3;male;;D3 of prime;
017_O05_ABL1_A_31824_D0;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31824;D0;male;;baseline;
059_O05_ABL1_A_31824_D7;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31824;D7;male;;D7 of prime;
080_O05_ABL1_A_31824_D126;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31824;D126;male;;D0 of boost;
101_O05_ABL1_A_31824_D129;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31824;D129;male;;D3 of boost;
122_O05_ABL1_A_31824_D133;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31824;D133;male;;D7 of boost;
297_O05_ABL1_A_31824_D540;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31824;PreChal ( D540);male;;PreChallenge;
018_O05_ABL1_A_32342_D0;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32342;D0;male;;baseline;
039_O05_ABL1_A_32342_D3;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32342;D3;male;;D3 of prime;
060_O05_ABL1_A_32342_D7;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32342;D7;male;;D7 of prime;
081_O05_ABL1_A_32342_D126;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32342;D126;male;;D0 of boost;
102_O05_ABL1_A_32342_D129;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32342;D129;male;;D3 of boost;
123_O05_ABL1_A_32342_D133;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32342;D133;male;;D7 of boost;
298_O05_ABL1_A_32342_D540;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32342;PreChal ( D540) ;male;;PreChallenge;
019_O05_ABL1_A_32371_D0;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32371;D0;male;;baseline;
040_O05_ABL1_A_32371_D3;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32371;D3;male;;D3 of prime;
061_O05_ABL1_A_32371_D7;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32371;D7;male;;D7 of prime;
082_O05_ABL1_A_32371_D126;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32371;D126;male;;D0 of boost;
103_O05_ABL1_A_32371_D129;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32371;D129;male;;D3 of boost;
124_O05_ABL1_A_32371_D133;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32371;D133;male;;D7 of boost;
299_O05_ABL1_A_32371_D540;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32371;PreChal ( D540);male;;PreChallenge;
020_O05_ABL1_A_32383_D0;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32383;D0;male;;baseline;
041_O05_ABL1_A_32383_D3;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32383;D3;male;;D3 of prime;
062_O05_ABL1_A_32383_D7;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32383;D7;male;;D7 of prime;
083_O05_ABL1_A_32383_D126;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32383;D126;male;;D0 of boost;
104_O05_ABL1_A_32383_D129;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32383;D129;male;;D3 of boost;
125_O05_ABL1_A_32383_D133;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32383;D133;male;;D7 of boost;
300_O05_ABL1_A_32383_D540;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32383;PreChal ( D540);male;;PreChallenge;
163_O05_ABL1_A_32570_D0;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32570;D0;male;;baseline;
182_O05_ABL1_A_32570_D3;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32570;D3;male;;D3 of prime;
201_O05_ABL1_A_32570_D7;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32570;D7;male;;D7 of prime;
220_O05_ABL1_A_32570_D126;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32570;D126;male;;D0 of boost;
239_O05_ABL1_A_32570_D129;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32570;D129;male;;D3 of boost;
258_O05_ABL1_A_32570_D133;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32570;D133;male;;D7 of boost;
317_O05_ABL1_A_32570_D538;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32570;PreChal ( D538);male;;PreChallenge;
164_O05_ABL1_A_32575_D0;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32575;D0;male;;baseline;
183_O05_ABL1_A_32575_D3;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32575;D3;male;;D3 of prime;
202_O05_ABL1_A_32575_D7;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32575;D7;male;;D7 of prime;
221_O05_ABL1_A_32575_D126;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32575;D126;male;;D0 of boost;
240_O05_ABL1_A_32575_D129;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32575;D129;male;;D3 of boost;
259_O05_ABL1_A_32575_D133;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32575;D133;male;;D7 of boost;
318_O05_ABL1_A_32575_D538;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32575;PreChal ( D538);male;;PreChallenge;
165_O05_ABL1_A_32576_D0;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32576;D0;male;;baseline;
184_O05_ABL1_A_32576_D3;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32576;D3;male;;D3 of prime;
203_O05_ABL1_A_32576_D7;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32576;D7;male;;D7 of prime;
222_O05_ABL1_A_32576_D126;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32576;D126;male;;D0 of boost;
241_O05_ABL1_A_32576_D129;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32576;D129;male;;D3 of boost;
260_O05_ABL1_A_32576_D133;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32576;D133;male;;D7 of boost;
319_O05_ABL1_A_32576_D538;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32576;PreChal ( D538);male;;PreChallenge;
166_O05_ABL1_A_32786_D0;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32786;D0;male;;baseline;
185_O05_ABL1_A_32786_D3;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32786;D3;male;;D3 of prime;
204_O05_ABL1_A_32786_D7;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32786;D7;male;;D7 of prime;
223_O05_ABL1_A_32786_D126;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32786;D126;male;;D0 of boost;
242_O05_ABL1_A_32786_D129;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32786;D129;male;;D3 of boost;
261_O05_ABL1_A_32786_D133;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32786;D133;male;;D7 of boost;
320_O05_ABL1_A_32786_D538;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32786;PreChal ( D538);male;;PreChallenge;
021_O05_ABL1_A_33252_D0;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33252;D0;male;;baseline;
042_O05_ABL1_A_33252_D3;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33252;D3;male;;D3 of prime;
063_O05_ABL1_A_33252_D7;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33252;D7;male;;D7 of prime;
084_O05_ABL1_A_33252_D126;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33252;D126;male;;D0 of boost;
105_O05_ABL1_A_33252_D129;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33252;D129;male;;D3 of boost;
126_O05_ABL1_A_33252_D133;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33252;D133;male;;D7 of boost;
301_O05_ABL1_A_33252_D540;ABL1_a;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33252;PreChal ( D540);male;;PreChallenge;
G163_O07_ABL3_30653_D0;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30653;D0;female;;baseline;
G185_O07_ABL3_30653_D3;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30653;D3;female;;D3 of prime;
G207_O07_ABL3_30653_D7;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30653;D7;female;;D7 of prime;
G385_O07_ABL3_30653_D126;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30653;D126;female;;D0 of boost;
G407_O07_ABL3_30653_D129;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30653;D129;female;;D3 of boost;
G429_O07_ABL3_30653_D133;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30653;D133;female;;D7 of boost;
G503_O07_ABL3_30653_D455;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30653;PreChal (D455);female;;PreChallenge;
G164_O07_ABL3_31432_D0;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31432;D0;female;;baseline;
G186_O07_ABL3_31432_D3;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31432;D3;female;;D3 of prime;
G208_O07_ABL3_31432_D7;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31432;D7;female;;D7 of prime;
G386_O07_ABL3_31432_D126;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31432;D126;female;;D0 of boost;
G408_O07_ABL3_31432_D129;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31432;D129;female;;D3 of boost;
G430_O07_ABL3_31432_D133;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31432;D133;female;;D7 of boost;
G504_O07_ABL3_31432_D455;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;31432;PreChal (D455);female;;PreChallenge;
G165_O07_ABL3_31450_D0;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31450;D0;female;;baseline;
G187_O07_ABL3_31450_D3;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31450;D3;female;;D3 of prime;
G209_O07_ABL3_31450_D7;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31450;D7;female;;D7 of prime;
G387_O07_ABL3_31450_D126;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31450;D126;female;;D0 of boost;
G409_O07_ABL3_31450_D129;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31450;D129;female;;D3 of boost;
G431_O07_ABL3_31450_D133;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31450;D133;female;;D7 of boost;
G505_O07_ABL3_31450_D455;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31450;PreChal (D455);female;;PreChallenge;
G167_O07_ABL3_31670_D0;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31670;D0;female;;baseline;
G189_O07_ABL3_31670_D3;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31670;D3;female;;D3 of prime;
G211_O07_ABL3_31670_D7;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31670;D7;female;;D7 of prime;
G389_O07_ABL3_31670_D126;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31670;D126;female;;D0 of boost;
G411_O07_ABL3_31670_D129;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31670;D129;female;;D3 of boost;
G433_O07_ABL3_31670_D133;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31670;D133;female;;D7 of boost;
G507_O07_ABL3_31670_D455;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31670;PreChal (D455);female;;PreChallenge;
G174_O07_ABL3_31687_D0;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31687;D0;female;;baseline;
G196_O07_ABL3_31687_D3;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31687;D3;female;;D3 of prime;
G218_O07_ABL3_31687_D7;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31687;D7;female;;D7 of prime;
G396_O07_ABL3_31687_D126;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31687;D126;female;;D0 of boost;
G418_O07_ABL3_31687_D129;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31687;D129;female;;D3 of boost;
G440_O07_ABL3_31687_D133;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31687;D133;female;;D7 of boost;
G514_O07_ABL3_31687_D455;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31687;PreChal (D455);female;;PreChallenge;
G175_O07_ABL3_32607_D0;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32607;D0;female;;baseline;
G197_O07_ABL3_32607_D3;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32607;D3;female;;D3 of prime;
G219_O07_ABL3_32607_D7;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32607;D7;female;;D7 of prime;
G397_O07_ABL3_32607_D126;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32607;D126;female;;D0 of boost;
G419_O07_ABL3_32607_D129;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32607;D129;female;;D3 of boost;
G441_O07_ABL3_32607_D133;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32607;D133;female;;D7 of boost;
G515_O07_ABL3_32607_D455;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32607;PreChal (D455);female;;PreChallenge;
G176_O07_ABL3_35887_D0;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Uninfected;35887;D0;female;;baseline;
G198_O07_ABL3_35887_D3;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Uninfected;35887;D3;female;;D3 of prime;
G220_O07_ABL3_35887_D7;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Uninfected;35887;D7;female;;D7 of prime;
G398_O07_ABL3_35887_D126;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Uninfected;35887;D126;female;;D0 of boost;
G420_O07_ABL3_35887_D129;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Uninfected;35887;D129;female;;D3 of boost;
G442_O07_ABL3_35887_D133;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Uninfected;35887;D133;female;;D7 of boost;
G516_O07_ABL3_35887_D455;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Uninfected;35887;PreChal (D455);female;;PreChallenge;
G177_O07_ABL3_35895_D0;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35895;D0;female;;baseline;
G199_O07_ABL3_35895_D3;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35895;D3;female;;D3 of prime;
G221_O07_ABL3_35895_D7;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35895;D7;female;;D7 of prime;
G400_O07_ABL3_35896_D126;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35895;D126;female;;D0 of boost;
G421_O07_ABL3_35895_D129;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35895;D129;female;;D3 of boost;
G443_O07_ABL3_35895_D133;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35895;D133;female;;D7 of boost;
G517_O07_ABL3_35895_D455;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35895;PreChal (D455);female;;PreChallenge;
G178_O07_ABL3_35896_D0;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35896;D0;female;;baseline;
G200_O07_ABL3_35896_D3;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35896;D3;female;;D3 of prime;
G222_O07_ABL3_35896_D7;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35896;D7;female;;D7 of prime;
G399_O07_ABL3_35895_D126;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35896;D126;female;;D0 of boost;
G422_O07_ABL3_35896_D129;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35896;D129;female;;D3 of boost;
