Sample ID;Group;Vaccine Description;RhCMV Status;vaccine route of inoculation;protectionStatus;AnimalID;Time_Point;Sex;Age;Study Event;PAXgene Sample Collection Date
S13_30028_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30028;D3;male;3,12;D3 of prime;2014-03-22
S13_30028_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30028;D126;male;3,46;D0 of boost;2014-07-23
S13_30028_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30028;D129;male;3,46;D3 of boost;2014-07-26
S13_30028_W18_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30028;D133;male;3,46;D7 of boost;2014-07-30
S13_30028_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30028;PreChal (W88);male;;PreChallenge;
S14_30412_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30412;D0;male;3,15;baseline;2014-03-19
S14_30412_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30412;D3;male;3,16;D3 of prime;2014-03-22
S14_30412_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30412;D7;male;3,15;D7 of prime;2014-03-26
S14_30412_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30412;D126;male;3,5;D0 of boost;2014-07-23
S14_30412_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30412;D129;male;3,5;D3 of boost;2014-07-26
S14_30412_W18_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30412;D133;male;3,5;D7 of boost;2014-07-30
S14_30412_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30412;PreChal (W88);male;;PreChallenge;
S15_30426_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30426;D0;male;2,74;baseline;2014-03-19
S15_30426_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30426;D3;male;2,74;D3 of prime;2014-03-22
S15_30426_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30426;D126;male;3,08;D0 of boost;2014-07-23
S15_30426_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30426;D129;male;3,08;D3 of boost;2014-07-26
S15_30426_W18_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30426;D133;male;3,08;D7 of boost;2014-07-30
S15_30426_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30426;PreChal (W88);male;;PreChallenge;
S2_28835_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28835;D0;male;3,96;baseline;2014-03-19
S2_28835_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28835;D7;male;3,96;D7 of prime;2014-03-26
S2_28835_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28835;D126;male;4,3;D0 of boost;2014-07-23
S2_28835_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28835;D129;male;4,3;D3 of boost;2014-07-26
S2_28835_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28835;PreChal (W88);male;;PreChallenge;
