Current_SYMBOL;HGNC_ENSEMBL_ID;Manual_annotations;ENSEMBL;SYMBOL;Type of gene;Detected in Type of Immune cells;Immune cell;Immune cell_1;V10;V11;Functions;Tissues
A1BG;ENSG00000121410;A1BG;ENSMMUG00000012459;A1BG;;Hepatocytes;;;;;;
LOC715623;ENSG00000162482;AKR7A3;ENSMMUG00000006891;LOC715623;;Hepatocytes;;;;;;
CTH;ENSG00000116761;CTH;ENSMMUG00000019326;CTH;;Hepatocytes;;;;;;
ESR1;ENSG00000091831;ESR1;ENSMMUG00000019045;ESR1;;Hepatocytes;;;;;;
