sdev
3.280087	2.477028	2.226363	2.154337	1.944398	1.820606	1.649679	1.635254	1.618507	1.528395	1.485132	1.459401	1.390759	1.358349	1.281187	1.231252	1.202068	1.122364	1.07228	1.041993	1.023981	0.9846217	0.9458475	0.9071275	0.8535037	0.8152883	0.7601281	0.7266713	0.672848	0.6519189	0.5929997	0.5796433	0.5070407	0.447462	0.4233622	0.4093997	0.3785491	0.3184207	7.171018e-15	
rotation
   	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	
LOC701920	0.2076	0.0523	-0.1892	-0.1306	-0.0452	-0.1178	-0.0048	0.0595	-0.1146	0.0125	0.0655	-0.1288	0.075	0.0375	0.1203	-0.0578	-0.0321	0.0383	-0.1301	-0.0348	0.0752	-0.1047	-0.1014	0.0358	0.0957	0.054	0.0868	0.1405	-0.0345	-0.036	0.0288	-0.0286	-0.0486	0.0188	-0.0263	0.0838	-0.025	0.018	-0.2235	
F2RL3	-0.1719	0.0594	0.0694	-0.0531	0.0633	0.1837	0.0959	-0.0377	0.0556	-0.2064	0.1848	-0.0315	-0.0306	0.0896	0.0039	0.0912	0.1749	-0.1385	-0.0415	0.0031	0.1805	0.1337	-0.2444	-0.2264	-0.042	-0.0545	-0.0926	0.0293	-0.0114	-0.06	0.1281	-0.0957	0.1681	-0.1325	0.0427	0.1354	0.0886	0.118	-0.0128	
TARM1	-0.1665	0.0331	-0.094	0.0427	-0.227	-0.0615	-0.0866	-0.0415	-0.1073	-0.0219	-0.0065	0.1013	-0.1767	0.0664	0.2015	0.0953	0.0401	0.0725	0.0808	0.1003	0.0487	-0.0453	-0.1903	-0.0282	0.1885	0.2606	0.1731	-0.0825	0.0224	0.3175	-0.0308	0.1046	-0.0451	-0.1236	-0.0196	0.0224	0.0359	0.0591	-0.0625	
CBS	0.0733	-0.1485	0.0078	-0.1341	-0.1259	0.0854	0.2551	0.2046	0.0041	0.0304	0.0254	0.0358	0.0131	-0.1349	0.1163	0.1027	-0.1286	0.0591	-0.0316	0.1191	-0.1715	0.0285	0.0057	0.3768	0.2034	-0.0112	-0.1815	0.0373	-0.0177	0.0151	0.1988	0.0206	-0.169	-0.0268	-0.0122	0.1496	-0.0974	-0.1128	0.0942	
X00000053012	0.192	-0.006	-0.0436	-0.1033	-0.0644	-0.0029	0.1056	-0.0421	-0.0929	-0.1986	-0.0095	0.1105	-0.0204	-0.1066	-0.1967	-0.0118	0.1569	0.1548	-0.0087	-0.3551	0.0769	0.0073	-0.0473	-0.0087	0.1123	-0.0135	-0.0728	0.0245	0.0096	-0.1565	-0.0787	0.0644	-0.0383	0.0874	0.1218	-0.3789	-0.0334	0.077	0.0159	
LILRB1	-0.1437	-0.1144	0.0284	-0.0748	-0.0294	-0.1671	0.0308	-0.0558	-0.0097	-0.1679	-0.0791	-0.0819	-0.2798	0.1452	0.0258	0.3055	-0.0718	-0.1082	-0.0164	-0.0502	0.0314	0.2246	-0.0357	0.0417	-0.102	-0.0989	-0.0032	-0.1423	-0.0849	-0.012	0.1854	-0.0114	-0.1442	0.1672	0.0437	-0.0541	-0.1412	-0.1077	-0.3354	
DLK1	-0.1193	-0.0472	-0.1529	0.1699	-0.0756	0.092	0.0257	-0.0908	0.0367	-0.033	-0.0587	-0.3085	0.1734	-0.0822	-0.1629	-0.0443	0.0319	-0.0563	-0.0477	0.0243	0.1449	-0.2071	0.0391	0.0208	-0.0011	0.1993	-0.0702	-0.1498	0.0585	0.0385	0.1723	0.2184	-0.128	-0.2643	0.2277	0.1397	-0.1125	0	-0.0222	
X00000064313	0.0986	0.1761	0.1151	-0.1835	0.0142	0.0193	0.045	0.0175	-0.1423	0.064	-0.0522	-0.2831	-0.0233	0.0017	0.0221	0.0257	0.0637	-0.0124	-0.0194	0.0744	0.0884	-0.1202	0.052	0.1295	0.0776	-0.2101	0.3099	-0.2117	-0.2862	-0.137	0.1445	0.0603	0.1786	-0.0442	0.034	0.0732	0.1983	-0.0277	0.1418	
KRTAP29.1	0.1045	-0.1081	0.1226	0.0094	-0.166	-0.0163	0.2375	-0.2973	-0.1058	0.1678	-0.0856	0.0275	0.0154	-0.0143	0.0792	-0.23	-0.0202	0.0567	-0.0393	0.0216	0.0368	-0.018	0.0791	0.0294	-0.0573	-0.0576	0.0272	0.0168	-0.1256	-0.0039	0.0072	0.1037	0.0439	-0.0207	0.0702	0.0398	-0.1198	-0.1386	-0.0353	
LOC715623	0.0941	-0.228	-0.0443	-0.0282	-0.0285	0.0192	0.0298	0.058	0.1462	-0.0428	0.1496	-0.2161	0.0752	0.0117	0.1165	-0.1625	-0.2532	-0.1011	0.0384	-0.2263	-0.0671	0.1316	-0.1008	-0.0325	0.1408	0.0941	0.2165	0.0367	-0.0747	0.0035	0.0878	0.0723	0.238	0.17	-0.0087	0.14	-0.0636	0.0701	0.0758	
ESR1	0.1038	0.1522	-0.0239	0.1635	0.0257	-0.1393	0.1443	-0.0091	-0.0061	-0.0174	-0.1356	-0.1283	0.0804	0.3019	-0.0129	-0.0455	-0.0496	-0.2624	0.0603	-0.0302	-0.2126	-0.0673	-0.1066	-0.0582	0.172	-0.0099	-0.1809	0.1293	-0.1191	0.0601	0.0812	-0.035	0.024	0.0599	-0.1658	-0.0702	0.1452	0.0917	0.0833	
CFAP70	-0.0616	0.0816	-0.0908	0.1605	0.0908	-0.0501	-0.2083	-0.2736	-0.1271	-0.1385	0.1504	-0.1352	0.0298	-0.0114	-0.0188	-0.0058	-0.2304	0.0851	-0.2162	-0.02	-0.0367	0.1012	0.0243	-0.0448	0.1358	-0.0015	0.0132	0.0236	0.0276	0.1988	-0.1841	0.0017	0.2426	-0.0885	0.0809	-0.1242	0.1451	-0.1293	0.0756	
LOC702786	0.0875	-0.0933	0.137	0.0095	-0.1549	-0.0176	0.2442	-0.3174	-0.0894	0.1841	-0.0795	0.0139	0.0172	0.0436	0.0385	-0.2446	0.0232	0.0762	-0.0291	-0.0097	0.007	-0.035	-0.0089	-0.0428	-0.0568	-0.0902	0.0651	-0.0836	-0.0249	0.0689	0.0638	0.0795	0.0048	-0.0416	0.0245	0.0046	0.1379	-0.0906	-0.0796	
C5H4orf45	-0.1067	0.0362	-0.1993	0.0818	-0.1198	0.1524	0.0113	0.0675	-0.1995	-0.0379	-0.0767	-0.0385	0.2243	-0.1278	-0.0148	-0.0659	0.2429	0.0237	0.1023	-0.0845	-0.0399	0.2062	0.0637	0.032	-0.0202	0.131	-0.01	-0.2571	-0.1639	0.0241	-0.1425	-0.149	0.0161	0.1506	-0.21	0.0119	-0.046	0.0111	-0.0416	
A1BG	0.1181	0.0408	0.073	-0.0549	0.0684	0.187	-0.0149	0.1721	0.0646	0.1905	-0.0525	0.0389	0.0869	0.1713	-0.0998	0.138	0.2392	0.1044	-0.0273	-0.2144	-0.0403	-0.0867	0.2227	-0.1733	-0.2272	0.2128	0.1473	-0.0806	-0.0767	0.2589	-0.0263	0.2221	-0.0331	0.1697	-0.0042	0.0766	-0.1392	0.0226	0.0275	
TRIM16	0.057	0.0898	0.0544	0.0423	0.1817	-0.0494	0.3202	-0.0461	0.1789	0.0128	0.146	-0.0383	0.0834	-0.1092	0.0713	0.2285	0.1044	-0.2482	-0.1468	-0.0896	-0.023	0.0384	0.0351	0.0897	0.1594	0.0677	-0.1514	0.0086	0.1329	0.1788	-0.0668	0.2329	0.0106	-0.0886	0.0632	-0.0923	-0.0464	-0.0945	0.0772	
MYH15	-0.0684	-0.0302	0.0278	-0.1734	0.134	-0.0469	-0.0227	0.0817	0.1304	0.2854	0.1556	-0.1575	0.1238	-0.0254	-0.278	0.0221	-0.2111	0.0582	0.0716	0.2395	0.1019	0.0891	0.0332	-0.1135	-0.0102	0.0949	-0.0087	-0.0096	-0.1043	-0.1185	-0.0129	0.09	-0.0802	-0.1553	-0.1728	-0.1997	0.0914	0.0353	-0.0263	
THRB	-0.1005	-0.0527	-0.1644	-0.0479	0.1843	-0.1213	0.1295	-0.199	-0.0676	-0.0312	-0.0021	0.0645	-0.1039	-0.0014	-0.019	0.1199	-0.1391	0.2154	-0.2228	-0.1009	0.1624	-0.2274	0.2079	-0.1722	-0.0928	0.0342	-0.1799	-0.0833	-0.006	-0.0232	0.0668	0.0015	0.1393	-0.0074	0.0743	0.102	-6e-04	0.0462	-0.085	
LOC114669850	0.0789	-0.0033	-0.0013	0.1031	0.2368	-0.0569	0.0754	0.1359	-0.0971	0.075	0.141	-0.1112	-0.4179	-0.0691	0.0714	-0.0318	0.0403	0.0733	0.1164	-0.0426	-0.0803	0.0586	0.0321	0.0826	-0.0987	-0.1507	-0.1317	-0.2595	0.1278	0.118	0.0362	0.058	0.0891	0.0055	0.0443	0.1211	-0.0317	0.0807	-0.0022	
USP31	-0.0779	-0.0195	-0.1878	-0.222	0.0337	0.0785	0.0526	0.1845	-0.0772	-0.0436	0.1216	-0.0766	-0.2018	0.068	-0.1393	-0.1812	-0.1089	-0.1021	0.1784	-0.0559	0.0085	-0.0487	-0.0422	-0.1104	0.074	-0.0829	0.0615	-0.07	-0.1767	0.2912	-0.1632	0.1602	0.051	-0.103	-0.0336	-0.0435	-0.1247	-0.0428	-0.0162	
