sdev
3.280087	2.477028	2.226363	2.154337	1.944398	1.820606	1.649679	1.635254	1.618507	1.528395	1.485132	1.459401	1.390759	1.358349	1.281187	1.231252	1.202068	1.122364	1.07228	1.041993	1.023981	0.9846217	0.9458475	0.9071275	0.8535037	0.8152883	0.7601281	0.7266713	0.672848	0.6519189	0.5929997	0.5796433	0.5070407	0.447462	0.4233622	0.4093997	0.3785491	0.3184207	7.171018e-15	
rotation
   	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	
RWDD2A	0.1586	0.2011	-0.064	-0.03	0.0942	0.102	0.0219	0.052	0.1352	0.0784	-0.0487	-0.0861	0.1956	0.0771	0.0466	0.2008	-0.0939	0.1075	0.0511	-0.0778	-0.0695	-0.1062	-0.0949	0.1823	-0.0351	-0.113	0.1663	-0.029	0.1172	0.1759	0.071	-0.1453	0.0038	-0.0078	0.0208	-0.1642	0.0499	-0.044	-0.3214	
LOC109910387	-0.0575	0.0867	0.3376	0.1067	-0.0164	-0.1125	-0.0388	-0.0135	0.0829	-0.2248	0.0646	-0.0459	-0.0515	0.0021	0.0154	0.0369	-0.0011	-0.0342	0.0983	-0.014	0.1027	-0.0853	0.1306	0.0744	0.1076	0.0426	0.0504	-0.095	-0.046	-0.0066	-0.1322	0.0775	0.1225	0.1205	-0.1442	0.0539	-0.0825	-0.2772	0.171	
LAD1	-0.1146	-0.0887	-0.0535	-0.0963	0.2134	0.0414	-0.0297	-0.207	-0.0462	0.2079	-0.0738	-0.0761	-0.0204	0.124	0.0463	0.0202	0.2854	0.0113	0.0085	-0.0062	0.03	0.2697	9e-04	0.012	0.0823	0.0751	-0.1598	0.0608	-0.3011	-0.0071	0.2205	-0.24	-0.0025	-0.0811	0.0043	-0.0465	0.0343	-0.0119	0.0743	
X00000056036	0.0641	0.018	-0.0204	0.2836	-0.0446	-0.0775	0.1662	0.1925	0.1	0.0815	-0.1192	-0.0393	-0.1514	0.2542	-0.0522	0.1058	0.0525	0.008	0.0465	0.0115	0.1537	-0.0645	0.1511	0.0512	-0.0472	0.1562	-0.0085	0.0898	-0.159	-0.1529	-0.0535	-0.0223	0.1575	-0.0736	0.0973	0.1195	0.0542	0.0732	-0.0274	
AZU1	-0.1667	-0.1852	0.1067	-0.0671	0.1585	-0.1787	0.0115	-0.0448	0.1071	-0.0375	-0.025	0.1213	0.148	0.0214	-0.0714	0.0042	0.0321	0.0043	0.0768	-0.0165	-0.0152	-0.004	-0.0245	0.2167	0.0049	-0.0087	0.1294	-0.0017	0.0846	-0.1006	-0.0715	-0.0406	0.112	-0.0802	0.083	-0.0228	-0.2997	0.1653	0.058	
ITGA2	-0.0508	0.2081	-0.1634	-0.1633	-0.0663	0.2133	0.0542	0.064	-0.016	-0.07	-0.0098	0.1101	-0.0167	-0.0975	0.142	0.0552	-0.0398	-0.0955	0.1783	-0.042	0.2359	0.0279	0.1282	0.087	0.0024	-0.087	-0.0961	0.0172	-0.0544	0.0746	-0.0111	-0.1066	0.1309	-0.1322	0.1004	0.1226	0.079	-0.2569	-0.0957	
SPEF2	0.0999	0.1934	-0.0451	0.0661	0.2014	0.1145	0.1084	-0.0152	-0.1221	-0.1366	-0.1081	0.1541	-0.0648	0.1052	0.0037	-0.1281	-0.1273	0.0559	-0.1005	0.0523	0.0073	0.1546	0.1234	-0.0982	0.1233	0.0084	0.2161	-0.0474	0.0859	-0.2439	-0.0197	0.0965	-0.0979	-0.0969	-0.326	0.1397	-0.2089	-0.0412	-0.1509	
GUSBA	0.0181	-0.2238	0.2292	0.0441	0.1025	0.0696	-0.1491	0.0374	-0.0117	0.0473	0.0367	-0.0335	-0.063	-0.1397	0.0607	0.1335	0.0048	-0.1719	-0.126	0.0149	-0.0092	-0.0086	0.2906	-0.0034	0.2091	0.0749	0.0996	0.0432	-0.2337	0.0785	-0.1099	-0.0165	0.0098	0.0573	0.095	-0.1444	0.0064	-0.0908	-0.3348	
CD300LD	-0.1393	-0.0721	-0.0129	0.0443	-0.115	0.0084	0.0271	0.1516	-0.0535	0.1647	-0.3357	0.1389	0.2014	-0.0159	-0.051	0.115	-0.1379	-0.0498	0.0651	-0.0837	0.0701	0.1393	0.141	-0.0783	0.1263	-0.15	-0.004	0.0675	0.1561	0.093	-0.0963	0.0093	0.3249	-1e-04	0.1573	0.034	0.1309	-0.0854	-0.0166	
TMEM40	-0.1774	-0.0133	0.0962	-0.0434	-0.0062	0.209	0.118	0.1218	-0.0845	-0.0248	0.1311	0.0712	0.0602	0.0031	0.1151	0.1746	-0.175	0.1521	-0.2221	0.1658	0.0095	-0.0038	-0.0688	0.082	-0.1561	0.0556	0.0744	0.1529	-0.1437	-0.112	-0.1747	-0.001	-0.0537	0.0964	0.1228	0.0208	0.1126	0.127	-0.0012	
F5	-0.1672	0.0313	0.0576	0.0778	0.1215	0.113	0.0951	0.2095	-0.2125	0.0819	-0.0496	-0.1219	-0.0507	-0.0341	0.1191	-0.1276	0.037	-0.0498	-0.1717	-0.2091	-0.1732	-0.0597	-0.084	-0.0276	-0.0583	0.0782	-0.2097	0.0134	0.0582	-0.1209	-0.0752	0.0822	-0.0483	-0.1471	-0.0293	-0.1246	-0.0637	-0.133	-0.1273	
TTC23L	-0.0876	0.2377	-0.087	0.1559	0.1652	0.019	-0.0293	-0.0737	-0.1136	0.0886	0.0518	-0.0125	0.0779	0.0303	-0.1279	0.1298	0.0691	0.1757	0.1751	0.145	0.013	-0.1107	0.015	0.1299	0.1269	-0.0894	0.0049	-0.0557	-0.0188	-0.0244	0.1337	-0.0931	0.0463	0.174	0.0898	-0.1173	-0.18	-0.1231	0.032	

center
0.3688362	2.612102	1.046269	4.521113	4.738883	-1.455361	3.222829	0.9719885	-1.96677	0.8565373	-0.1110334	3.026991	2.940022	5.362839	-2.87079	0.9008519	-0.9271533	2.613302	7.497898	-1.268048	-2.142987	-2.497659	-1.412403	0.6880807	1.124395	-3.05118	0.3063398	-1.861907	-1.699265	-2.091516	-3.719422	-0.0972838	0.3603939	-0.510898	-3.733619	0.00378116	0.4513275	2.756688	1.516187	1.27059	3.788619	-1.401456	-3.298758	-2.689666	0.01245687	-1.270301	0.3264299	1.38679	-2.856682	4.071926	1.023964	2.729933	-0.8197735	-1.462559	0.3300384	-3.567759	4.281897	2.927899	5.444388	-1.919574	1.222559	2.05457	-0.07885973	-1.490387	5.897567	1.506922	2.944876	5.940193	0.03804428	
scale
2.055217	0.6125696	2.218566	0.6939863	0.9842894	1.808612	0.9076809	0.7896041	1.694806	1.588979	1.163309	0.330344	0.527629	0.2801322	1.739482	2.297881	1.559251	0.5013362	0.4716816	1.886533	1.444901	3.778384	1.209331	0.6180473	1.414946	2.721778	2.683409	1.120074	1.240563	1.261484	1.454256	2.567771	0.7109992	1.939772	1.261275	1.200377	1.240732	1.256522	1.041515	1.126123	0.2526509	1.583756	1.372301	1.333167	1.011173	1.175594	0.7262857	0.6561046	1.327658	0.483848	1.115662	0.4376136	2.114298	0.9021825	0.8007681	1.426932	0.2743116	0.2913122	1.3277	1.23441	2.494758	1.098504	1.000452	0.9650334	0.3469701	0.7391775	0.9747805	0.9089406	0.9946076	
x
   	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	
30028	3.3247	0.8381	-2.4066	0.8441	-1.1992	1.1653	-0.719	1.5839	-0.4131	-1.8099	2.5452	-1.4771	-1.7035	0.2757	0.4843	-0.8206	-0.1405	-0.4395	-0.5917	2.15	1.4115	-0.1743	-1.3729	-0.2338	0.0549	0.3337	0.7041	0.0577	-1.8176	-0.1914	0.6048	0.055	0.1333	0.4109	-0.003	-0.5745	0.7478	7e-04	0	
29523	-2.417	2.1926	-0.8087	-1.5056	3.6945	-1.7805	-1.2966	-2.5365	-1.6316	0.418	2.6951	0.194	2.6881	0.1295	-1.2081	-1.4913	2.2792	2.0061	1.7075	0.0605	-0.7151	0.2209	-1.2533	-0.9184	-0.2704	0.1805	0.4033	-1.1084	0.0308	0.5562	0.0017	-0.1579	-0.0952	0.2472	0.0522	-0.0316	0.2279	0.0723	0	
29558	0.5677	-1.8911	0.8234	1.2256	0.597	-0.1133	3.919	0.1232	-0.13	-0.3498	-1.3344	-0.6116	-0.2292	-0.6765	1.2938	-0.9519	-0.1436	0.1475	2.1287	0.4885	-0.5728	-0.2448	0.3683	0.3252	0.2091	1.1132	1.8255	0.9555	0.2324	0.7574	-0.3789	0.4845	-1.3474	-0.0057	0.197	-0.5309	-0.0598	0.3823	0	
30027	2.0763	-0.5976	0.7195	2.8688	-0.4704	-2.7062	1.3336	-3.256	-0.785	-1.9803	1.5676	1.2904	-1.3946	-0.953	1.8078	-1.4205	1.2528	-1.2119	1.7564	0.461	0.8947	0.0758	1.2998	0.796	0.9085	0.3073	-1.0827	-0.1622	0.5686	-1.0473	0.1545	-0.3739	0.3296	0.1798	-0.3133	0.0774	-0.0804	-0.4797	0	
28819	0.3607	1.2481	0.6427	-2.8388	-2.8992	-3.1273	-0.227	-0.8904	1.5784	3.0673	-2.2391	-0.7663	1.2843	-1.7022	0.5128	-0.4632	2.2631	-0.4055	-1.0936	-0.2171	-0.3553	-0.4343	-0.7389	1.236	-0.4811	1.3515	0.3212	0.921	-0.3209	-0.4072	-0.3024	-0.1656	0.6332	-0.4492	-0.1685	-0.2168	0.6196	-0.1284	0	
30412	-2.8663	0.4275	-0.7175	2.7325	-1.4045	-1.9568	-0.4535	1.1918	-0.5872	-0.5097	0.6452	-1.3781	-0.3937	-1.5527	-0.3913	-1.4667	-1.4966	-0.8093	-0.1541	0.0341	0.178	1.5977	-2.2117	0.0177	-2.0234	-0.6778	-1.0778	0.445	0.9031	0.0251	-0.853	-0.7508	-0.4723	-0.2924	0.4364	-0.2824	-0.3072	-0.0728	0	
28835	0.8442	-0.0435	1.1894	-3.6192	4.4141	-1.6493	0.5785	-0.1091	1.0252	-1.3014	1.1046	1.8906	-0.0539	1.4516	-1.1344	0.2151	-0.7856	-1.1153	-0.8364	-0.1819	0.4727	-0.3285	1.656	0.9082	-1.8612	-0.6529	0.1025	0.304	-0.2089	-1.0325	-0.5296	-0.5147	-0.2124	0.007	-0.2071	-0.4235	0.3423	0.6292	0	
29208	2.9457	-0.7506	1.7941	-1.9143	1.631	-1.7035	-0.9137	0.6241	1.41	-0.0901	-2.501	-0.6549	-0.2803	0.2066	-0.4573	1.6604	0.1622	0.1596	0.3471	0.532	1.2369	0.0028	-0.9448	-0.3303	1.6647	1.2766	-2.0357	-1.1831	-0.7507	-0.1382	-0.2967	-0.4804	-0.9391	0.0426	0.368	-0.1493	-0.2836	0.2585	0	
29211	5.7174	0.2857	3.8663	-0.1835	-0.3951	-1.6996	1.6906	0.479	1.3873	0.4266	0.1659	-1.2925	1.238	-0.7061	-2.871	-0.516	-0.8013	-0.116	-0.6653	0.1537	0.7173	-1.2819	-0.5674	-0.3908	0.0508	-1.0098	0.4893	0.107	0.357	-0.0625	-0.3859	0.8573	-0.1465	1.2076	-0.4117	0.3346	-0.2657	-0.5599	0	
29299	2.4295	1.4739	0.1266	1.3835	1.7447	-0.9364	-1.6875	0.1264	-0.2694	-0.3438	-0.8112	-3.3881	-0.4309	-1.5489	0.0918	-0.0184	0.3978	0.1567	0.2975	-1.0418	0.4657	0.3837	0.3851	-1.6358	-0.0775	0.0148	0.0747	0.8255	0.6643	-1.0873	1.2766	0.784	0.6113	-0.1335	-0.0918	0.1189	-0.3368	0.8686	0	
29341	-0.8004	-2.7572	0.2999	2.0722	-0.3044	-1.1245	2.3302	-0.1785	-1.4455	0.2378	-0.121	1.2073	1.1098	-1.3787	-0.6597	-0.8246	-0.6439	-1.3248	-1.5351	-0.6191	-0.358	1.0879	-0.2158	1.0462	1.0689	-0.455	-0.5053	-0.3533	-0.458	1.2418	0.6717	-0.1536	0.2719	0.4336	0.2075	0.8309	0.5876	0.7583	0	
29484	-4.0927	-1.9951	2.1668	4.5167	2.8867	0.0324	-4.0004	-2.5584	3.5298	1.9402	-0.4378	-0.3137	-0.1932	1.0973	1.3225	0.5958	-0.417	-0.5627	0.2526	2.1708	0.4209	0.0612	-0.0125	0.6063	-0.2896	-0.7062	0.2605	0.4397	-0.3312	0.7448	-0.2992	0.5829	0.103	-0.0533	-0.1296	0.3595	0.003	0.0155	0	
29511	-4.8769	-6.5235	0.7299	0.8348	-0.762	-1.4738	0.3942	2.9254	0.407	0.0976	2.2642	-0.9016	-1.0024	1.171	-1.1399	0.304	2.2295	0.9685	0.2017	-1.7208	1.1727	-1.1624	0.797	0.0637	-0.5459	0.3746	-0.5308	0.672	-0.5864	1.0703	0.3816	-0.2326	0.2988	-0.1562	-0.164	-0.1614	-0.4436	-0.1266	0	
29515	3.5146	0.3705	0.2338	1.7709	-1.2902	-2.4545	-1.255	0.8271	0.5111	-2.448	-0.0414	0.1766	1.5099	1.8622	-1.202	1.7168	-2.0992	0.4129	1.1397	-0.7249	-1.6469	1.7368	0.0275	1.6549	-0.1023	1.0746	0.3726	-0.6456	-0.0844	0.2945	0.3684	0.7485	0.7608	-0.2347	-0.1264	-0.511	-0.1029	-0.1976	0	
29306	-2.3856	-1.2057	-1.47	-4.5568	-2.3399	1.5703	-1.6957	-0.4525	-0.5765	-1.0966	1.3659	-1.9715	1.4256	0.994	-1.4504	-0.0981	0.0257	-0.4606	0.6075	1.1203	0.5363	0.0222	-0.0032	1.6366	2.4148	-1.1835	0.3584	1.0615	0.9909	-0.2232	-0.2766	-0.2522	-0.0289	-0.3617	0.1863	0.0379	-0.194	0.1963	0	
29482	1.9041	-0.6802	-3.0684	1.9875	0.983	0.369	-1.8433	-0.1402	-1.5358	3.7304	1.8517	0.1211	0.0877	-0.6332	0.4646	1.9253	-1.2142	-2.4829	0.4607	-2.7225	0.6013	-0.9616	-0.2032	-0.0838	0.798	0.3022	1.2191	-0.5983	0.0752	-0.3429	-0.5428	-0.4466	-0.1664	0.1803	0.1431	-0.2326	-0.0193	-0.1114	0	
29483	4.7389	-0.2885	-1.1549	-1.3448	0.8108	0.7589	-0.6619	1.0616	-1.4019	-2.1244	-1.639	2.423	-0.5246	2.0355	0.7525	1.1484	2.6671	-1.7765	0.1489	-0.0438	0.1935	1.0489	-1.1649	-1.1577	-0.4077	0.2623	0.3745	1.1683	0.4634	0.6764	-0.8946	0.1762	0.5667	0.3864	0.2253	0.5429	-0.1548	-0.0539	0	
28724	-3.0305	-2.221	-0.0613	0.6162	0.4455	0.7239	1.5742	0.2756	2.0145	-0.5784	-1.5991	-1.3143	-2.0109	2.6032	-0.5751	-0.302	0.7602	-0.7438	-0.7415	-0.2256	-0.2944	-0.2959	-1.0564	-0.4039	0.0765	0.047	0.8093	-1.7575	1.9041	-0.3727	0.7132	-0.3576	-0.0766	-0.2814	-0.2183	0.0361	0.6942	-0.1603	0	
29528	-1.3051	-0.3497	-3.0218	0.5961	-2.8027	-0.5023	-2.923	-0.4239	2.4962	-1.6663	-1.6838	1.32	-0.378	-0.8933	-2.0293	-1.7453	-1.5423	0.6933	0.511	-0.2608	-0.3429	-0.4585	1.9762	-1.9776	0.2606	0.8137	0.5135	0.303	-0.1321	0.2202	-0.4184	-0.9341	-0.0025	0.2764	0.2265	0.3367	0.3356	-0.0348	0	
30400	-1.4085	-0.2766	-0.9493	-0.205	-0.8307	-0.1714	2.8304	-2.2146	-1.012	-1.2592	-0.9452	-0.9818	2.6243	1.1153	0.5999	0.135	-1.2424	-0.378	-0.1278	-0.5585	2.0869	0.1965	0.0814	-1.6867	-0.1878	-0.5228	0.2199	-0.3922	-1.1702	-0.0098	-0.5147	0.4059	0.0577	-1.3225	-0.4196	0.3787	0.0096	-0.212	0	
30407	5.2945	1.4527	-3.2577	0.6643	-0.1122	1.3186	-0.9298	1.5251	0.1624	0.4166	1.7222	0.3193	-0.15	0.1007	-0.5855	-1.0844	0.4323	-0.9871	-0.2617	0.6102	-2.126	-1.581	0.091	0.3606	-0.3589	0.6947	-1.1583	-0.0914	0.0957	0.2641	-0.0201	0.5852	-0.8823	-0.8753	-0.9172	0.7099	-0.144	0.1192	0	
28808	3.1563	0.0873	-2.9311	1.3677	1.7849	-0.2378	0.4949	1.8052	0.2299	-0.3559	0.0278	-0.1748	1.922	-1.0458	1.8786	0.728	0.114	1.3922	-1.3116	0.6362	0.2578	-1.1972	1.4098	-0.4322	0.4459	-0.8787	-1.1148	-0.169	1.2729	0.8415	-0.5493	0.5369	0.4544	-0.1415	0.5755	-0.7396	0.5894	-0.1614	0	
28810	-3.9043	0.4764	-4.017	0.2095	-1.5084	-1.1295	1.4535	0.2136	1.2721	1.2752	-0.063	3.7203	1.5302	0.1431	-0.5854	2.0955	0.0052	0.1035	0.5453	0.9552	0.4971	-0.2432	-0.6473	-0.3309	-0.4886	-0.3532	-0.2479	0.8052	0.166	-0.9429	1.681	0.5169	-0.6836	0.1391	0.4713	0.0734	-0.0999	-0.1718	0	
28885	1.3833	-6.7689	-0.0924	-4.2146	0.7969	-1.7391	-1.199	-2.6929	-2.6622	-0.6706	-0.4611	0.4278	-2.8829	-1.5931	0.6211	0.5358	-1.4639	1.0289	-0.9373	0.2375	-1.8938	-0.9212	-0.7681	-0.3476	-0.2418	-0.634	0.2323	-0.0254	-0.2946	-0.0699	0.2821	0.5022	0.0304	-0.2743	0.3096	0.0313	-0.1172	-0.2912	0	
28890	1.5769	-0.7811	-2.3449	-0.0229	-1.4275	1.2129	1.3654	-0.0947	-0.5105	2.2181	-2.3009	1.3203	0.1841	0.9504	0.3026	-1.4029	-0.7243	0.3368	0.8869	1.3997	-0.1061	-1.2223	-0.5612	0.0512	-0.3838	-0.6815	-0.0853	-0.8631	-0.1045	0.1715	0.0147	-0.7255	1.1894	0.2974	-0.533	-0.5987	-0.9073	0.4915	0	
28949	4.6472	-1.3439	-0.5709	-1.1736	0.723	3.1718	1.2028	-0.5249	2.1851	1.8224	0.5864	-1.3647	0.3703	1.1428	0.011	-2.3685	0.6235	-0.4359	-0.0484	-0.5027	-0.6176	1.2386	1.0929	0.4393	-0.6905	0.0321	-0.1725	-0.5091	-0.6805	-0.4962	0.2688	0.2229	0.1642	-0.0809	1.4666	0.2487	-0.3836	-0.309	0	
29014	1.1667	4.2089	-3.8174	0.2133	0.8985	-0.3562	-0.0186	-0.9822	2.1857	-1.7279	-0.9586	-0.0685	-1.2498	0.2667	2.0266	-0.2722	0.3209	2.5507	-1.3029	-2.3779	0.5346	0.0817	-0.705	1.736	0.3732	-1.0715	0.5408	0.2062	-0.3875	0.288	0.1181	-0.4233	-0.5113	0.2884	-0.2899	0.2914	-0.3899	-0.0643	0	
29212	2.5226	-1.0611	1.1681	0.9921	4.1764	3.4471	1.3654	1.2245	0.5254	0.538	-0.753	0.0858	0.3232	-2.2573	-1.3452	1.1754	0.0019	0.6598	0.9546	0.2376	-1.0128	1.399	-0.2404	-0.2524	0.5987	-0.6644	-0.0519	1.0957	-0.4185	-0.1391	0.4522	-1.4042	0.2488	-0.4377	-0.6066	-0.114	0.2583	-0.5094	0	
29215	3.358	-2.3959	-0.2101	-0.9232	-2.157	1.3222	-0.4986	-0.1949	-2.0015	2.8008	0.8536	0.1838	-0.5755	0.2504	0.311	0.8669	-0.4198	2.6845	-0.8069	0.9522	1.8399	2.473	1.1445	0.2436	-0.8648	1.0112	0.1885	-0.3378	0.914	-0.1454	-0.2355	-0.0279	-0.4154	0.2508	-0.5549	0.3755	0.1515	0.086	0	
31481	0.0137	3.4456	4.8035	-0.9502	-0.5951	-0.9034	0.9779	2.8526	1.316	-0.0788	2.7275	1.5391	-0.7271	-0.9387	1.6957	0.7838	-1.0961	1.1105	0.3848	0.7983	0.1213	-1.0095	-0.5112	-0.213	0.2638	0.3465	1.0638	-0.494	0.2899	-0.0913	-0.1468	-0.6068	0.6499	-0.6608	0.5692	0.8387	-0.2122	0.1769	0	
31824	-2.7914	0.2248	-0.3536	-0.0174	-3.0683	1.6639	0.3881	0.6439	-0.2961	-1.0431	-0.8628	-2.116	-0.2925	-1.4489	0.4206	2.739	1.4656	0.1133	2.2865	-0.074	-1.1943	-0.4087	0.7025	0.5681	-1.3094	-1.3744	-0.3438	-1.0889	-0.6752	-0.5451	-0.7191	0.1607	-0.0585	0.5409	0.0267	0.4369	0.4062	0.1915	0	
32342	-4.7797	2.4878	-0.6776	1.6502	-0.4545	-2.133	1.4704	0.5797	-0.1598	1.0212	0.9547	0.0599	-1.5087	0.3083	-0.7129	0.6889	1.5124	-0.2131	-2.363	1.028	-2.0095	1.7148	1.114	-1.1861	1.4648	-0.436	0.5601	-0.3076	-0.5965	-0.5578	-0.8186	0.2693	-0.0812	0.0058	-0.143	-0.3925	-0.5433	0.0176	0	
32371	-6.5257	1.4171	-0.829	-0.2104	1.9711	1.8865	2.1761	-0.9105	-0.9929	0.115	0.5495	-1.7197	0.0917	1.9137	0.7158	0.3359	-2.1865	0.7438	-0.3804	-0.2482	-1.0686	-0.8868	-0.5257	-0.0054	0.1798	1.9782	-1.2365	1.1913	0.0667	-0.6114	-0.4986	0.0552	0.5557	0.7821	-0.0192	0.3359	0.1371	-0.0925	0	
32383	-3.3231	5.9478	-0.3043	-0.84	1.4896	1.7933	0.3107	-1.5931	-2.0523	-0.5409	-1.2982	-0.3192	-2.0372	-1.9641	-2.5394	0.9407	0.1881	-1.0543	-0.5359	0.7623	1.4369	-0.5478	1.035	1.0544	-0.7553	0.8858	0.2119	-0.4737	0.2323	1.2934	0.4699	0.2209	0.2186	-0.2245	0.2995	-0.0829	-0.3312	-0.2603	0	
32570	-4.592	-1.4314	1.7329	-1.9054	-0.511	4.4832	-0.6631	0.2051	2.4809	-1.1009	0.8996	2.9368	-0.0615	-2.6825	0.2737	-1.1726	0.0531	-0.1502	-0.0908	-1.4459	0.613	0.7595	-0.9558	-0.1363	0.4385	0.4287	-0.3785	-0.5501	0.1256	-0.3105	-0.4849	1.3818	0.1947	0.0432	-0.4023	-0.5363	-0.0486	0.1342	0	
32575	-2.7365	0.9543	2.0126	-4.3748	-0.6364	-0.0887	-1.4253	1.2066	0.056	-0.5676	0.1552	-1.1762	2.1365	-0.1967	3.3918	-0.1552	-0.6391	-1.9833	-0.5738	0.1422	-0.7949	0.6387	1.0726	-0.8472	-0.4272	0.0506	-0.0083	-0.3162	0.1039	0.8607	1.1468	-0.6214	-0.4766	0.5889	-0.4721	-0.1616	-0.3112	-0.3109	0	
32576	-3.5538	1.9091	1.8907	0.2379	1.4685	-0.8454	-2.0723	4.333	-3.8644	1.4137	-2.8985	1.1915	-0.5583	1.2794	0.2765	-2.5996	-0.4174	0.4684	0.9262	-0.4441	0.4471	-0.0436	0.5156	0.6919	0.5515	-0.7739	-0.0267	-0.0386	-0.4215	-0.6926	0.0458	0.6358	-0.1833	-0.0983	0.0373	0.1552	0.3368	-0.3318	0	
32786	0.9987	-0.5748	4.8572	4.7416	-1.9692	3.1558	-1.7223	-1.5534	-2.4987	-1.914	-0.658	0.9176	2.4392	0.6287	-0.1573	0.2902	1.1997	0.7409	-2.133	-0.1926	-0.5292	-1.4092	-0.1046	0.2134	-0.3288	0.3242	0.3134	0.0913	-0.0593	-0.7548	0.2088	-0.6247	-0.4924	-0.0611	0.3163	-0.2842	-0.2178	0.092	0	
33252	2.8478	4.4892	4.0069	-0.7251	-3.3784	0.7573	0.3494	-2.5011	0.0535	2.0189	0.9253	0.6654	-2.3263	2.2456	-0.2108	0.2928	-0.4808	0.1727	0.9477	-1.3281	-0.4978	0.0727	-0.0048	-1.0793	0.2731	-1.1285	-1.1025	0.8157	0.0414	0.9661	0.3051	0.0716	-0.2006	-0.1631	0.0773	-0.5267	0.5073	0.1495	0	

